Company-Name,Founded in,Ownership,India Employee count,Global Employee count,Headquarters,Office Locations,CEO,Founders,Type of Company,Nature of Business,Company Email ID,Company Contact no.,Social Media Presence,Website,Details,Reviews,Salaries,Interviews,Jobs,Benefits
AgreeYa Solutions,1999 (24 yrs old),Private,501-1k,1k-5k,"Folsom, California, United States (USA)",,,,Foreign MNC,Service|B2B,,,https://twitter.com/AgreeYaGlobal,https://www.agreeya.com/,Software Product | 501-1k Employees | 24 years old | Folsom +8 more,198,2.2k,12,68,18
CSC Global,1899 (124 yrs old),Private,1k-5k,5k-10k,"Delaware, USA,",Bengaluru/Bangalore,Rod Ward,,Foreign MNC,B2B,,8664035272.0,https://www.facebook.com/CSCSince1899|https://www.youtube.com/user/CSCGlobal,https://www.cscglobal.com,Financial Services | 1k-5k Employees | 124 years old | Delaware +6 more,198,1.7k,14,22,--
NextGen Healthcare,1974 (49 yrs old),Private,501-1k,1k-5k,"Atlanta,Georgia, United States Of America",,,,Foreign MNC,Service|B2B|SaaS,,,https://www.linkedin.com/company/nextgen-vietnam|https://twitter.com/nextgen,http://ng.nextgen.com/li,IT Services & Consulting | 501-1k Employees | 49 years old | Atlanta +8 more,198,1.6k,7,18,37
Universal Corporation,1999 (24 yrs old),Private,1k-5k,10k-50k,"Kikuyu, Nairobi, Kenya",,,,Corporate,B2B,,,,http://www.ucl.co.ke,Pharma | 1k-5k Employees | 24 years old | Kikuyu +34 more,198,938,7,1,22
Stellar Innovations,2016 (7 yrs old),Private,201-500,501-1k,"Dayton, OH, United States (USA)",,,,Corporate,Service|B2B,,,https://twitter.com/stellaripl,http://www.stellar-innovations.com/,IT Services & Consulting | 201-500 Employees | 7 years old | Dayton +7 more,198,1.3k,13,--,17
Hinduja Finance,2008 (15 yrs old),Private,201-500,201-500,"Mumbai, Maharashtra, India",,,,,,,,,http://hindujafinance.com/,NBFC | 201-500 Employees | 15 years old | Mumbai +99 more,198,897,9,--,15
Bharat Institutions,2001 (22 yrs old),Private,201-500,501-1k,"Hyderabad/Secunderabad, Telangana, India",,,,Corporate,B2C,,,,http://biet.ac.in/,Education & Training | 201-500 Employees | 22 years old | Hyderabad/Secunderabad +6 more,198,207,2,--,90
Motherson Sumi Wiring,,,,,,,,,,,,,,https://www.mswil.motherson.com/,Building Material | Fortune India 500 | Noida +20 more,198,1.2k,14,--,7
Metawallah,2021 (2 yrs old),Private,51-200,51-200,"Gurgaon/Gurugram, Haryana,","Gurgaon/Gurugram, Haryana,",,,Startup,B2C|B2B,care@metawallah.com,,https://www.facebook.com/metawallah|https://www.twitter.com/metawallah,https://www.metawallah.com,Internet | 51-200 Employees | Startup | 2 years old | Gurgaon/Gurugram +13 more,198,23,6,--,2
Adani Gas,2004 (19 yrs old),Public,501-1k,,"Ahmedabad, Gujrat, India",,,,Corporate,B2C|B2B,,,,http://www.adanigas.com,Oil & Gas | 501-1k Employees | Public | 19 years old | Ahmedabad +35 more,197,1.8k,17,--,34
SGT University,2013 (10 yrs old),Private,501-1k,1k-5k,"Gurgaon/Gurugram, Haryana, India","Gurgaon/Gurugram, Haryana, India",,,Corporate,B2C,,,,https://sgtuniversity.ac.in/,Education & Training | 501-1k Employees | 10 years old | Gurgaon/Gurugram +4 more,197,917,9,4,20
Al-Yamama Group,1952 (71 yrs old),,51-200,10k-50k,"Dammam, Saudi Arabia","Dammam, Saudi Arabia",,,,,,,,http://www.yc.com.sa/,Engineering & Construction | 51-200 Employees | 71 years old | Dammam +17 more,197,444,7,--,31
Symphony,1988 (35 yrs old),Public,201-500,1k-5k,"Palo Alto,California, United States",,,,Indian MNC,B2C,,,https://www.facebook.com/SymphonyComm/|https://www.linkedin.com/company/1250964|https://twitter.com/symphony,http://www.symphonylimited.com,Consumer Electronics & Appliances | 201-500 Employees | Public | 35 years old | Palo Alto +52 more,197,936,4,--,23
Pitney Bowes,1920 (103 yrs old),Private,501-1k,10k-50k,"Stamford, United States (USA)",,,,Foreign MNC,Service|B2B,,,https://www.facebook.com/PitneyBowes|http://twitter.com/pitneybowes,https://www.pitneybowes.com/in,IT Services & Consulting | 501-1k Employees | 103 years old | Stamford +11 more,197,1.9k,12,16,38
Volvo Trucks,1928 (95 yrs old),Private,501-1k,1 Lakh+,"Gothenburg, Sweden",,,,Corporate,B2C,,,http://www.facebook.com/VolvoTrucks|https://twitter.com/#!/VolvoTrucks,https://www.volvotrucks.com/splash.html,Automobile | 501-1k Employees | 95 years old | Gothenburg +26 more,197,1.1k,17,--,28
Country Club India,1985 (38 yrs old),Private,5k-10k,,"Hyderabad/Secunderabad, Telangana, India",,C Mukund Krishna,,Corporate,B2C|B2B,,,https://www.linkedin.com/company/country-club|https://twitter.com/countryclub_ind,http://countryclubindia.net/,Hospitality | 5k-10k Employees | 38 years old | Hyderabad/Secunderabad +25 more,197,742,2,--,16
Gaja Engineering,2011 (12 yrs old),Private,201-500,,"Hyderabad, India","Hyderabad, India",,,,,,,,https://gaja.co.in/,Engineering & Construction | 201-500 Employees | 12 years old | Hyderabad +23 more,197,999,10,4,37
Toshiba,1875 (148 yrs old),Private,201-500,1 Lakh+,"Tokyo, Japan",Hyderabad/Secunderabad|Chennai|Bengaluru/Bangalore,Satoshi Tsunakawa,,,,,,,https://www.toshiba.co.jp/worldwide/,Industrial Machinery | 201-500 Employees | Forbes Global 2000 | 148 years old | Tokyo +26 more,197,1.3k,14,--,25
Big C,2002 (21 yrs old),Private,1k-5k,,"Hyderabad/Secunderabad, Telangana, India",Hyderabad/Secunderabad,,,Corporate,Product|B2C,,,https://twitter.com/BigCMobilesIN,https://www.bigcmobiles.com/,1k-5k Employees | 21 years old | Hyderabad/Secunderabad +41 more,197,692,8,11,23
Mitsubishi Elevators,1931 (92 yrs old),Private,1k-5k,1k-5k,"Tokyo, Japan",,,,,,,,,https://www.mitsubishielevator.in/,Industrial Machinery | 1k-5k Employees | 92 years old | Tokyo +22 more,197,862,4,--,32
Path Infotech,1991 (32 yrs old),Partnership,201-500,501-1k,"Noida, Uttar Pradesh, India","Noida, Uttar Pradesh, India",,,Corporate,Product|Service|B2B,contact.in@pathinfotech.com,1204726100.0,https://www.facebook.com/PathInfotechLtd|http://www.linkedin.com/company/path-infotech-ltd|https://twitter.com/PathInfotechLtd|https://www.youtube.com/c/pathinfotechltdnoida,https://www.pathinfotech.com/,IT Services & Consulting | 201-500 Employees | 32 years old | Noida +7 more,197,1.6k,9,24,27
Padmini VNA Mechatronics,1991 (32 yrs old),Private,501-1k,1k-5k,"Gurgaon/Gurugram, Haryana, India","Gurgaon/Gurugram, Haryana, India",,,Corporate,B2C|B2B,,,https://www.linkedin.com/company/padmini-vna-mechatronics-pvt-ltd-,http://www.padminivna.com,Auto Components | 501-1k Employees | 32 years old | Gurgaon/Gurugram +1 more,197,1.2k,21,1,50
Hicare Services,2003 (20 yrs old),Private,501-1k,1k-5k,"Mumbai, Maharashtra, India","Mumbai, Maharashtra, India",,,Corporate,B2C,,,,https://hicare.in/,501-1k Employees | 20 years old | Mumbai +24 more,197,878,8,6,26
Hughes Systique Corporation,2005 (18 yrs old),Private,501-1k,1k-5k,"Rockville, United States",Noida|Bengaluru/Bangalore|Gurgaon/Gurugram,Pradeep Kaul,,Foreign MNC,Service|R&D/Development Center|B2B,info@hsc.com,1244178999.0,https://www.facebook.com/HughesSystiqueCorp|https://www.linkedin.com/company/hsc/|https://twitter.com/hsccorp|https://www.youtube.com/@hughesystique|https://www.instagram.com/hughessystique/,https://hsc.com,Emerging Technologies | 501-1k Employees | 18 years old | Rockville +3 more,197,2k,15,17,38
Drydocks World Dubai,1983 (40 yrs old),LLC,1k-5k,10k-50k,"Dubai, Dubai, United Arab Emirates (UAE)","Dubai, Dubai, United Arab Emirates (UAE)",,,Corporate,B2C|B2B,,,,http://www.drydocks.gov.ae/en/default.aspx,Ports & Shipping | 1k-5k Employees | 40 years old | Dubai +12 more,197,453,9,--,24
N Ranga Rao And Sons,1948 (75 yrs old),Private,1k-5k,,"Mysore/Mysuru, Karnataka, India","Mysore/Mysuru, Karnataka, India",,,Corporate,B2C,,,https://www.linkedin.com/company/n--ranga-rao-&-sons,http://www.cyclepure.com,FMCG | 1k-5k Employees | 75 years old | Mysore/Mysuru +47 more,197,763,3,5,26
B S R & Co Llp,,,5k-10k,,,,,,,,,,,http://bsraffiliates.com,Accounting & Auditing | 5k-10k Employees | Mumbai +17 more,197,2.8k,8,--,17
Connectwise India,,,1k-5k,,,,,,,,,,,https://www.connectwise.com,IT Services & Consulting | 1k-5k Employees | Pune +4 more,197,1.8k,34,54,40
Central Institute of Mining and Fuel Research,2007 (16 yrs old),Government,501-1k,,"Dhanbad, Jharkhand, India","Dhanbad, Jharkhand, India",,,Govt/PSU,B2C,,,,http://cimfr.nic.in/,Education & Training | 501-1k Employees | 16 years old | Dhanbad +12 more,197,618,4,--,23
Honda India Power Products,,,1k-5k,,,,,,,,,,,https://www.hondaindiapower.com/,Industrial Machinery | 1k-5k Employees | Greater Noida +22 more,197,895,9,--,28
Teachmint,2020 (3 yrs old),Private,501-1k,,"Bengaluru/Bangalore, Karnataka, India",Bengaluru/Bangalore,Mihir Gupta,,Startup,Product,contact@teachmint.com,8035073710.0,https://www.facebook.com/teachmintapp/|https://twitter.com/teachmintapp,https://www.teachmint.com/,EdTech | 501-1k Employees | Startup | 3 years old | Bengaluru/Bangalore +21 more,197,940,15,15,33
Purplle.com,2011 (12 yrs old),Private,201-500,201-500,"Mumbai,Maharashtra, India",Mumbai,Manish Taneja,,Corporate,B2C,,,https://facebook.com/letspurplle|https://linkedin.com/company/purplle-com/about|https://twitter.com/letspurplle,https://www.purplle.com/,Beauty & Personal Care | 201-500 Employees | Indian Unicorn | 12 years old | Mumbai +14 more,196,1.2k,13,54,27
IndustryBuying.com,2013 (10 yrs old),Private,51-200,,"Delhi,NCT, India",New Delhi,Swati Gupta,,Startup,B2B,,,http://facebook.com/industrybuying|http://linkedin.com/company/industrybuying|http://twitter.com/industrybuying,https://www.industrybuying.com,Import & Export | 51-200 Employees | Startup | 10 years old | Delhi +11 more,196,1.2k,12,157,28
Aristocrat Technologies,1953 (70 yrs old),Private,501-1k,1k-5k,"North Ryde, NSW, Australia",,,,Foreign MNC,Product|Service|B2B,,,,http://www.aristocrat.com.,Gaming | 501-1k Employees | 70 years old | North Ryde +6 more,196,2.3k,22,18,35
Paradeep Phosphates,1981 (42 yrs old),Public,501-1k,501-1k,"Bhubaneswar, Odisha, India","Bhubaneswar, Odisha, India",,,Corporate,B2B,,,,http://www.paradeepphosphates.com/,Agro Chemicals | 501-1k Employees | Public | 42 years old | Bhubaneswar +29 more,196,968,11,--,22
Namaste India Foods,2014 (9 yrs old),,11-50,51-200,"Kanpur, Uttar Pradesh, India","Kanpur, Uttar Pradesh, India",,,Corporate,B2C,,,https://www.linkedin.com/company/namaste-india-limited,https://www.namasteindiafoods.com/,Food Processing | 11-50 Employees | 9 years old | Kanpur +20 more,196,668,5,1,34
Amrita Institute of Medical Sciences and Research,1998 (25 yrs old),Private,5k-10k,,"Kochi/Cochin, Kerala, India",,,,Corporate,B2C,,,https://www.linkedin.com/company/amrita-hospitals-faridabad,http://aims.amrita.edu/,Healthcare | 5k-10k Employees | 25 years old | Kochi/Cochin +10 more,196,853,6,19,21
Al Ahleia Switchgear,1982 (41 yrs old),Private,1k-5k,1k-5k,"Safat, Kuwait",,,,,,,,,http://www.ahleiasg.com/,Industrial Machinery | 1k-5k Employees | 41 years old | Safat +11 more,196,603,8,--,25
Rajiv Gandhi Cancer Institute & Research Centre,1996 (27 yrs old),NGO/NPO,1k-5k,1k-5k,"Delhi/NCR, Delhi, India",,,,Corporate,B2C,,,https://twitter.com/rgcirc,https://www.rgcirc.org/,Healthcare | 1k-5k Employees | 27 years old | Delhi/NCR +3 more,196,838,10,12,18
Dalmia-OCL,2016 (7 yrs old),,,501-1k,"New Delhi, India",,,,,,,,https://www.linkedin.com/company/dalmia-ocl/|https://twitter.com/dalmiabharat,https://www.dalmiaocl.com/,Building Material | 501-1k Employees (Global) | 7 years old | New Delhi +28 more,196,647,7,--,14
Greentech Industries,2008 (15 yrs old),Private,5k-10k,,"Naidupet Mandal, Andhra Pradesh, India",,,,Corporate,B2B,,,,http://gti-india.com/,Industrial Machinery | 5k-10k Employees | 15 years old | Naidupet Mandal +8 more,196,979,7,--,40
Ratnamani Metals and Tubes,1983 (40 yrs old),Public,1k-5k,1k-5k,"Ahmedabad, Gujarat, India","Ahmedabad, Gujarat, India",,,Indian MNC,B2C|B2B,,,https://www.linkedin.com/company/ratnamani-metal-&-tubes-ltd,http://www.ratnamani.com/,Building Material | 1k-5k Employees | Public | 40 years old | Ahmedabad +12 more,195,967,9,8,35
Veer-O-- Metals,1965 (58 yrs old),Private,201-500,501-1k,"Bangalore/Bengaluru, Karnataka, India","Bangalore/Bengaluru, Karnataka, India",,,Corporate,B2B,,,https://www.linkedin.com/company/veero-metals,http://veerometals.com,Industrial Machinery | 201-500 Employees | 58 years old | Bangalore/Bengaluru +4 more,195,1.1k,9,--,21
The Professional Couriers,1986 (37 yrs old),Private,1k-5k,5k-10k,"Navi Mumbai, Maharashtra, India",,,,Corporate,B2C|B2B,,,,https://www.tpcindia.com/,Logistics | 1k-5k Employees | 37 years old | Navi Mumbai +52 more,195,1.2k,4,16,15
